community,census_tract,county,hardship_index,ma_percentile,pop_total,percapita_income,percent_not_hs_grad,percent_unemployed,percent_dependent,percent_poverty,percent_crowding
,2611.02, Essex County,28.562279164804156,38,4558,33656,5,6.2,31.10000000000001,9,1.6
,7371, Worcester County,28.568773521253764,38,5081,37784,7.5,4.4,37.8,9.6,0
,5421.02, Plymouth County,28.5718251074095,39,2459,35801,7.5,9.5,32.900000000000006,4.6,0
,7061, Worcester County,28.574628503216093,39,4474,32857,5.7,6.2,35.7,5.8,0.6
,2151.02, Essex County,28.577150117569005,39,3188,37292,3.8,2.4,43.1,6.3,1.4
,7442, Worcester County,28.58496052620202,39,7316,36732,10.5,5.4,33.89999999999999,5.3,1
,3165, Middlesex County,28.585635906493025,39,6451,34537,9.4,6.9,35.5,3.8,0
,6171.02, Bristol County,28.590058023559124,39,4020,34810,9.8,5.9,37.60000000000001,3,0
,2046, Essex County,28.61637859021113,39,4831,38693,8.7,7.9,30.099999999999994,11.4,0
Charlestown,406, Franklin County,28.627215089094467,39,4730,39803,4.4,5,38.4,8.2,1.3
,410, Franklin County,28.627903434914305,39,3390,40227,3.8000000000000003,4.7,38.800000000000004,13.4,0
,2121, Essex County,28.63717143341212,39,9436,37883,8.9,5.8,34.7,5.2,1.3
,5062.02, Plymouth County,28.64858065306147,39,2536,39402,3.4,8.7,37.2,7.8,0
,6317, Bristol County,28.66632574015866,39,6447,34237,4.699999999999999,4.3,41.599999999999994,6.7,0
,9322, Berkshire County,28.67992228713197,39,2294,42130,7.5,8.7,34.7,7.1,0.3
,3154.03, Middlesex County,28.682254518608882,39,1749,35159,7.9,9,36.099999999999994,1.5,0
,7471.01, Worcester County,28.707346712098797,39,5279,33127,9.4,5.9,35.2,4.4,0.4
,5202.01, Plymouth County,28.715061058138406,40,3650,31346,3.7,8.6,34,5.4,0.5
,7352, Worcester County,28.716494627885567,40,4601,32335,9.7,3.7,35.400000000000006,4.3,1.4
,2112, Essex County,28.718289419138998,40,6125,33317,4.6,5.5,39.3,6.9,0
,3123, Middlesex County,28.721819701831908,40,4790,33608,13.6,7.8,25.5,4.4,1.5
,3.01, Suffolk County,28.761192643375196,40,2712,36981,8.6,2,27.10000000000001,17.8,2.4
,2604.01, Essex County,28.763570278961108,40,3767,36078,6.300000000000001,9.7,35.599999999999994,3.3,0
,3011.01, Middlesex County,28.781196189047776,40,4022,33971,4.8,4,37,5.3,2.3
,1106.07, Suffolk County,28.78412883056126,40,5126,51862,4.7,11.7,32.7,13.7,0
,7362, Worcester County,28.800539703039092,40,3740,33007,7.300000000000001,3.6,39.300000000000004,4.2,1.1
,3399, Middlesex County,28.817457393511223,40,5289,30898,6.6,5.1,30.5,11.8,0.9
,5308.02, Plymouth County,28.826802442354488,40,5206,34932,2.5,6.9,37.00000000000001,6.6,1.2
,5401.02, Plymouth County,28.828782341860517,40,2753,35608,8.4,5,34.8,3,2.4
,5309.01, Plymouth County,28.83721753593953,40,8200,35261,7.7,9.5,33.400000000000006,2.3,0.7
,3395, Middlesex County,28.83908092863312,40,5760,27133,6.1000000000000005,3.1,19.099999999999994,10.9,5.9
,4134.02, Norfolk County,28.84950840464023,41,4564,42089,2.1,7.5,33.8,5,3.9
,3591, Middlesex County,28.86728930749625,41,6607,53585,3.5,4.5,44.099999999999994,3.9,3.9
,104.03, Suffolk County,28.873464199157493,41,2875,43226,4.5,5.6,12.5,40.8,1
,6451.03, Bristol County,28.876394053214693,41,5854,33711,10.2,3.9,39.199999999999996,5,0
,4196, Norfolk County,28.88467412323038,41,7307,41819,3.7,6,38.599999999999994,4.8,2.6
,3565, Middlesex County,28.905339060249855,41,6944,47912,4.4,3.7,41.89999999999999,5.2,3.5
,5261, Plymouth County,28.915272548233887,41,7684,31904,2.8,9.2,37.4,3.4,0.2
,6321, Bristol County,28.92412975784364,41,6977,40014,7.5,7.9,37.10000000000001,4.3,0.7
,9011, Berkshire County,28.928373721928935,41,3670,30011,9.1,4.4,38.3,3.7,0.2
,3382, Middlesex County,28.938210616886035,41,4079,43021,6.4,5.6,42.800000000000004,4.3,0.9
Downtown/Chinatown/LeatherDistrict,203.03, Suffolk County,28.948060180492096,41,3574,55239,5.8999999999999995,10.2,20.299999999999997,19.8,3.8
,3840.02, Middlesex County,28.97498384840534,41,6031,45161,4.3,6.2,33.89999999999999,12.8,2.2
,6302, Bristol County,28.97520328011637,41,8104,38585,3.7,4.5,38.400000000000006,5.7,2.8
,6141.02, Bristol County,28.976262315402618,41,6683,32570,14.1,6.4,32,4.3,0
,3641.02, Middlesex County,28.986183350546508,41,5151,40867,3.9000000000000004,7.2,33.5,9.4,2.2
,6451.02, Bristol County,28.986197845270382,42,5568,33780,13.6,4.8,34.900000000000006,5.2,0
,4025, Norfolk County,28.987126470958028,42,4543,55806,7.199999999999999,3.7,48.300000000000004,3.3,2.4
,2041.02, Essex County,28.990413244413688,42,4965,32035,8,6.2,31.299999999999997,4.8,2.1
,6461.04, Bristol County,28.997818325535803,42,2592,49143,5.9,5.5,49.8,3.6,0
,6102.03, Bristol County,29.00006411902685,42,6698,39421,2.2,7.8,39.10000000000001,3.8,1.9
,5081.02, Plymouth County,29.02120267238318,42,5152,37693,7.2,6.9,36.60000000000001,5.8,0.8
,5061.02, Plymouth County,29.023663941192343,42,5818,46470,5.2,5.6,38.099999999999994,8.1,2.5
,2003, Dukes County,29.059483834784555,42,4217,46e3,18.8,7.1,31.900000000000006,6.2,0
,2532.02, Essex County,29.073916455103795,42,6570,35959,5.2,9.2,31.200000000000003,5.8,1.8
,6313, Bristol County,29.076077477964677,42,5269,33989,9.3,8.7,33.599999999999994,4.4,0
,102.04, Suffolk County,29.077597564800925,42,3360,18937,0,7.3,0.29999999999999716,44,0.8
,103.04, Barnstable County,29.07838678005054,42,1975,42778,3.4,6.7,44.99999999999999,1,1.6
,3333, Middlesex County,29.082223168649488,42,3870,37361,9.9,7.7,29.5,5.5,2.1
,4101, Norfolk County,29.088078664696457,42,6534,45582,7.8,7.8,39.50000000000001,5.9,0.5
,3215, Middlesex County,29.09596546530945,43,7356,32770,10.399999999999999,8.4,30.299999999999997,7,0
,8130, Hampden County,29.10855586204354,43,7314,31296,6.2,7.4,34.7,6.1,0.4
,5041.01, Plymouth County,29.11334960867796,43,5572,45468,4.5,7,44.300000000000004,3.4,1.1
,8209, Hampshire County,29.127297452692517,43,6322,37935,6.5,4,35.099999999999994,4.5,3.8
,4222, Norfolk County,29.14214814010887,43,7112,37227,6.1000000000000005,6,39.39999999999999,5.3,0.9
,7363, Worcester County,29.142862772481433,43,2582,33103,7.8999999999999995,6.2,35.400000000000006,5.3,0.9
,3312, Middlesex County,29.166137294237355,43,5426,35355,4.1,9.5,32.30000000000001,7.1,1.2
,8134.04, Hampden County,29.187946295855696,43,6686,44392,5.1,4.5,45.300000000000004,3.7,1.8
,137, Barnstable County,29.190187239244263,43,4306,32598,6.1,8.5,35.5,5.6,0
,7291, Worcester County,29.215182289579587,43,5564,25530,13.3,7,27,5.1,0.5
,4021.02, Norfolk County,29.227036212955724,43,4448,30760,6.3,7.2,31.39999999999999,9.7,0.6
,6002.02, Bristol County,29.228790594364067,43,4720,38340,3.8000000000000003,11.3,33.5,4.3,1.3
,5001.01, Plymouth County,29.2402508486162,43,4046,40906,5.3,9.1,37.099999999999994,6.8,0.5
,3154.01, Middlesex County,29.251355636335933,43,3794,38088,7.6,4.7,38.699999999999996,9.2,0.5
,8133.03, Hampden County,29.263381047527528,43,4490,55459,3.8,7.2,53.1,3.5,0
,8135, Hampden County,29.26350126761697,44,5179,39184,5.4,7.2,40.7,5.2,0.5
,3352, Middlesex County,29.280405842956743,44,6135,40086,8.899999999999999,2.4,37.2,4.4,3.8
,6101, Bristol County,29.29175411475605,44,5391,32550,3.4,8.4,31.10000000000001,2.7,3.5
,3852.01, Middlesex County,29.32711902895643,44,2417,31332,5,4.5,37.49999999999999,9.8,0.6
,2111, Essex County,29.37264443795367,44,4067,38648,8.6,6.4,42,3.6,0
,6.01, Suffolk County,29.388062177070637,44,3294,30932,9.3,6.4,23.299999999999997,18.8,0.4
,4226, Norfolk County,29.405778372336624,44,7112,32369,5.2,8.8,35.8,4.1,0.7
,8220, Hampshire County,29.436562658523354,44,2160,5680,9.1,8.7,2.299999999999997,26,0
,2174, Essex County,29.45509600397151,44,5560,33434,8.8,4.9,25.099999999999994,14.6,2.6
,2526.01, Essex County,29.45759845998715,44,7392,32248,6,6.8,37.2,7.8,0
,6425, Bristol County,29.491201425179458,44,4592,33936,11.3,7,34.099999999999994,5.9,0.2
,7491, Worcester County,29.515901061365003,44,7519,37143,3.0999999999999996,10.1,36.1,4.1,1.5
,9241, Berkshire County,29.533355012387364,44,2062,49253,11.5,2.7,42.6,10.9,0.8
,4176.01, Norfolk County,29.56604301703484,44,5466,27441,11.100000000000001,11.5,24.599999999999994,5.9,0
,8202.02, Hampshire County,29.56755119948674,44,1316,46449,4.8,6.6,41.39999999999999,6,2.2
Dorchester,1008, Suffolk County,29.57468667299624,45,6716,43270,8.399999999999999,10.3,31,6.5,1.9
,7351, Worcester County,29.608829780452783,45,6623,28366,9.899999999999999,6.6,33.80000000000001,6.4,0
Somerville,3502, Middlesex County,29.6183062637147,45,6499,36360,15.6,8.3,27.700000000000003,7.6,0.4
,8210, Hampshire County,29.625229979815447,45,4384,37038,7.5,6.7,38.7,6.8,0.4
,4421.01, Norfolk County,29.62935302279989,45,5870,33660,2.3,10.6,33.3,1.8,2.7
,2621, Essex County,29.631859083090976,45,6601,36319,3.1,9.9,37.699999999999996,6.2,0.4
,4564.02, Norfolk County,29.639787555438264,45,5680,38576,8,7.7,39.8,3.1,0.7
,2113, Essex County,29.656339339287694,45,6913,39146,4.4,9.8,42.5,2.5,0
,2219.01, Essex County,29.659587406723052,45,3537,44685,7.1,10.7,34.2,8.8,0.6
,2084, Essex County,29.67043786385214,45,6154,38908,10.5,7.5,36.50000000000001,1.4,1.8
,5601, Plymouth County,29.688373030873425,45,6176,44067,4.5,7.3,41.6,3.9,2.2
,7251, Worcester County,29.697779192263905,45,4734,29288,7.3,6.3,35.400000000000006,5.8,0.9
,1105.02, Suffolk County,29.70266497616851,45,4443,38488,10.3,7.9,29.700000000000003,4.7,3
,6532.04, Bristol County,29.71890325349428,45,3015,37275,13.3,3.9,35.900000000000006,8.4,0.8
,9323, Berkshire County,29.722209179901313,46,2093,32676,7.5,7.9,37.099999999999994,5.6,0
,1006.03, Suffolk County,29.726758854619106,46,2038,38533,7.5,4.7,28,7.9,5.4
,7552, Worcester County,29.738530671420435,46,8132,32219,9.3,7.8,32.10000000000001,5.9,1.1
,121.01, Barnstable County,29.745634794543026,46,5470,32834,8.8,4.7,38.9,4.1,1.3
Cambridge,3550, Middlesex County,29.755224574421334,46,3077,45165,10.8,6,32.19999999999999,10.5,2.5
,4180.02, Norfolk County,29.76917805244388,46,6791,36698,8.8,4.5,27.400000000000006,6.4,5.5
,5251.01, Plymouth County,29.7808814109008,46,6433,33283,3.8,8.9,31.700000000000003,8.9,1.7
,2531, Essex County,29.78093462224677,46,5424,37987,5.8,9.8,33.900000000000006,10.8,0
,412, Franklin County,29.790048265561932,46,3156,27209,8.100000000000001,3.6,34.7,10,0.9
,7391, Worcester County,29.80189309322394,46,9538,43094,4.4,7,36.2,8.1,3
,4212, Norfolk County,29.819340471232625,46,5739,41204,1.9,8.6,34.7,7.8,3.2
,3141.01, Middlesex County,29.82261798525727,46,6262,33974,10.5,3.3,35.8,4.6,2.8
,3391, Middlesex County,29.836375862251344,46,5989,38992,8.1,6,38.699999999999996,8.8,0.6
,415.02, Franklin County,29.83992161367405,46,3759,36273,6.4,6.1,35.80000000000001,8.3,1.8
,4197, Norfolk County,29.847438908719138,46,3911,38139,5.3,7.7,44.300000000000004,3.6,0
,8222, Hampshire County,29.858515617319753,47,5836,48283,4.3,10,39.099999999999994,12.2,0
Cambridge,3543, Middlesex County,29.858820452645507,47,3580,40006,8,4.8,35.89999999999999,11.8,1.6
,2663, Essex County,29.868020236058722,47,3693,41154,8.5,8.8,39.099999999999994,6,0
,3703, Middlesex County,29.880270685880436,47,5378,42681,7.1,8.4,37.4,8.5,0.8
,3251, Middlesex County,29.887833854689035,47,7810,39355,5.4,10.1,32.10000000000001,12,0.6
,7303, Worcester County,29.898065468984925,47,4840,29713,5.800000000000001,6.8,34.19999999999999,9.2,0.8
,8026.02, Hampden County,29.89889914036284,47,1946,34696,9.1,7,34.5,8.2,0.7
,8119, Hampden County,29.909018510344882,47,3681,39226,7.300000000000001,7.3,37.3,4.7,2
,9332, Berkshire County,29.91475926661522,47,1265,43042,2.3000000000000003,6.9,43.599999999999994,10.5,0.5
,8016.04, Hampden County,29.927384244994556,47,3891,35723,9.6,6.9,38,4.2,0.8
,3397, Middlesex County,29.941663716887504,47,4334,31832,9.6,4.7,25.799999999999997,13.4,2.9
,7361, Worcester County,29.96361642254267,47,2734,33583,7.3999999999999995,6.4,42.300000000000004,4,0
Charlestown,403, Suffolk County,29.964108819635403,47,4325,67638,8.3,6.4,31.700000000000003,22.1,3.9
Back Bay,105, Suffolk County,29.968847308562555,47,3333,30436,8.3,5.8,16.69999999999999,30,0.6
,7121.01, Worcester County,29.969915847351032,48,6805,36174,8.4,4.5,37.99999999999999,12,0.3
,2042, Essex County,29.993526876448026,48,5058,31427,5.800000000000001,8.3,22.30000000000001,24.1,0
,4192, Norfolk County,30.00973968457083,48,5422,36443,7.2,8.1,37.3,5.7,0.9
,2104, Essex County,30.03375267362752,48,7292,36192,10.9,8.5,35.69999999999999,5.8,0
,5422, Plymouth County,30.047377230067458,48,6424,34498,4.5,6.3,45.3,3,0.5
,138, Barnstable County,30.053651579378606,48,5001,36694,2.6,7.5,37.39999999999999,13.8,0.3
,7161, Worcester County,30.05612591418169,48,7682,33396,7,6.7,33.7,6.9,2.2
,8137.02, Hampden County,30.074204277056356,48,5237,32714,9.4,5.8,37.599999999999994,8.4,0
,4131, Norfolk County,30.0816301677616,48,6076,39854,6.1,5.8,39.2,7.3,2.1
,3393, Middlesex County,30.10405325325783,48,2918,34939,8.1,5.8,33.89999999999999,8.6,2.1
Cambridge,3539, Middlesex County,30.110806827652965,48,6353,20072,2.4,4.9,7,21.6,7.4
,127, Barnstable County,30.126589084676954,48,4119,36306,4.6,5.6,44.7,4.3,1.1
,3331, Middlesex County,30.130304437133834,48,7899,36891,5.1,6,37.900000000000006,4.4,3.2
,5612, Plymouth County,30.169505325972732,48,2865,8530,6.1,11.5,3.5999999999999943,27,0
,7365, Worcester County,30.173825073838902,48,4425,33425,7,7.1,42.099999999999994,4.1,0
,5401.01, Plymouth County,30.186060313276144,49,3988,34140,6.4,5.7,40.5,5.1,1.4
,7591, Worcester County,30.186409174120957,49,2198,34085,6.6,7.3,35.599999999999994,5.9,1.9
,5021.02, Plymouth County,30.20659405729829,49,5678,33122,7,9.1,36.400000000000006,6.9,0
,129, Barnstable County,30.209937362337826,49,4076,31594,4.5,8.6,40.9,4.4,0
,144.02, Barnstable County,30.230927380501637,49,6642,37289,4.8,5.4,39.50000000000001,9.5,1.7
,122, Barnstable County,30.239164645621084,49,5094,45546,4.2,3.6,44.7,15.5,0.7
,2002, Dukes County,30.2503916436706,49,4626,35648,2.6,2.4,47.8,12.5,0
,6461.03, Bristol County,30.256306642868044,49,5549,36162,10.5,7.8,39,4.6,0
,7541, Worcester County,30.2590812251903,49,5589,34214,8.7,6.8,37.4,9.1,0
,4564.01, Norfolk County,30.261086119065084,49,2782,32897,13.6,5.3,35.60000000000001,8.1,0
,147, Barnstable County,30.285225539752023,49,3590,36918,2.9,6,47.300000000000004,6.9,0
,1203.01, Suffolk County,30.305968259056907,49,5201,36557,12.100000000000001,6.9,23.799999999999997,13.8,2.7
,2114.02, Essex County,30.31130588315095,49,6221,39466,5.3,5.9,45.400000000000006,1.5,2.1
,7561.01, Worcester County,30.312796646482568,49,4612,33754,8.1,9.4,35.599999999999994,6.9,0
,3155, Middlesex County,30.314431951949242,50,7614,35557,6.4,6.9,37,5.3,2.3
,5117.02, Plymouth County,30.327586217760565,50,2989,29626,10.2,7.2,37.599999999999994,2.9,0.4
,5.04, Suffolk County,30.356099903463857,50,4149,30886,5.4,5.2,22.099999999999994,31.7,0
,4223.02, Norfolk County,30.35783182656723,50,6543,37513,7.6,9.6,34.5,3.5,2.2
,5308.01, Plymouth County,30.360186067831908,50,5521,37302,2.4,5.7,46.7,9.2,0
,6551, Bristol County,30.3635717154507,50,4084,35770,17.6,4.4,37.2,5.8,0
,6151, Bristol County,30.37378392077674,50,7221,33226,6.7,9.1,37.199999999999996,5.4,0.5
,3689.02, Middlesex County,30.37597542328084,50,4540,28133,8,3,28.5,12.5,3.6
,4422.02, Norfolk County,30.38964358875246,50,8739,43114,8,7,39.2,9.1,1.2
,109, Barnstable County,30.390882773819882,50,4750,33825,1.8,3.1,46.99999999999999,5,2.3
,149, Barnstable County,30.395919869548845,50,3734,52836,2.4000000000000004,5.3,54.50000000000001,7.7,0.7
,2041.01, Essex County,30.41326794080673,50,4979,29139,5.7,9,27.200000000000003,16,0.5
,8226.01, Hampshire County,30.418443945579444,50,1992,27588,5.9,3.4,34.10000000000001,10.6,2.6
,4151.02, Norfolk County,30.419413923915382,50,7981,40291,4,10.6,39,7.9,0.4
,9505, Nantucket County,30.421500653824264,50,1141,45295,2.4000000000000004,3.5,52.1,11.9,0
,7292, Worcester County,30.422329646784807,51,2270,30891,6.4,4.2,37.1,13.2,0.7
,3690, Middlesex County,30.437326859657556,51,1637,36453,9.7,6.1,33.900000000000006,11.5,1.2
,6441.02, Bristol County,30.451102720408013,51,5134,36033,10,6.7,40.89999999999999,5.7,0
,7309.01, Worcester County,30.452122950649095,51,3464,35889,2.8,7.8,36.599999999999994,11.2,1.5
,4227, Norfolk County,30.461445425377708,51,3619,33090,9.399999999999999,8.1,36,4.8,0.9
,2521.02, Essex County,30.48481959167321,51,4091,41635,6.1,8.6,38.800000000000004,6.8,1.6
,143, Barnstable County,30.494277672238656,51,4371,48684,5,8.8,50.8,3,0
,9311, Berkshire County,30.506829192644947,51,1606,29438,5.699999999999999,5.3,40.1,10.2,0
Somerville,3513, Middlesex County,30.523098740933392,51,3862,37924,12.7,4.5,25.200000000000003,16.4,3.1
,102.08, Barnstable County,30.523856468750576,51,1644,39131,6.3,5.6,43.5,10.7,0
,8025, Hampden County,30.532196125176625,51,6738,29532,12.1,6.6,33.400000000000006,5.7,1
,4561.02, Norfolk County,30.56385298712775,51,5009,33735,8.8,7.8,34.2,8.2,1.1
,2232, Essex County,30.569391022037177,51,3706,34303,7.800000000000001,8.2,36.3,10,0
,3223, Middlesex County,30.571995411027626,51,6174,30415,11.1,3.3,38.800000000000004,8,0.8
,2021.02, Essex County,30.578711342266335,52,6129,36735,6.9,4,42.6,8.4,1.4
,4211, Norfolk County,30.59007815709653,52,5236,26112,5.2,9.6,31.799999999999997,10.7,0
,5022, Plymouth County,30.602930155380974,52,5915,30365,5.2,5.2,39.8,9.9,0.7
,4571, Norfolk County,30.6396712389228,52,4453,34351,11.4,9.8,36.599999999999994,3.2,0
,7241, Worcester County,30.6667750134206,52,3752,34417,9.8,7.4,36.5,5.4,1.3
,2671.02, Essex County,30.67790805948699,52,5184,30994,12.7,7.6,33.89999999999999,6,0.4
,3322, Middlesex County,30.67913492111457,52,8496,40217,7.6,7.6,35.19999999999999,8.3,2.5
,9111, Berkshire County,30.68203746702792,52,3027,32033,6.6,11.1,36.9,4.3,0
,9141, Berkshire County,30.731744789546525,52,5878,32725,10.2,5.8,37.1,10.8,0
,5611, Plymouth County,30.736103166909192,52,4979,47885,6,8.6,48.50000000000001,5.5,0
,7091, Worcester County,30.745941920266016,52,4080,37826,6.699999999999999,5.4,30.700000000000003,10.3,4.7
,2231, Essex County,30.765700120825443,52,4290,39743,3.2,9,41.2,10.6,0.3
,4221, Norfolk County,30.778015882506395,52,5908,32876,4.6,9.4,38.8,5,1
,6131, Bristol County,30.78563457496279,52,6836,30042,17.8,6.2,34.3,4,0
,7531, Worcester County,30.819077680703874,52,7414,29033,5.699999999999999,6.3,36.60000000000001,13.4,0
,9261, Berkshire County,30.820955435238915,53,3220,36187,9.7,4.9,40,12,0
,3882, Middlesex County,30.834761868243152,53,7436,27775,13.7,7.3,28.099999999999994,12.3,0
,9231, Berkshire County,30.848160068197007,53,3196,29932,5.8,8.7,40.099999999999994,5.4,0
,8136.01, Hampden County,30.877839369651554,53,8065,35597,7.1,5.6,42.8,5.2,1.5
,8132.08, Hampden County,30.890336304913586,53,3042,29464,6.3,5.3,36.9,5.4,2.9
,9201.02, Berkshire County,30.903259421513667,53,3240,33597,6.5,6.5,36.2,14.3,0.4
,3125.02, Middlesex County,30.915896875529885,53,4086,34024,11.6,8.3,36.099999999999994,7.3,0
,7601, Worcester County,30.949788759689707,53,3405,32060,9.600000000000001,6,39.4,8.9,0
,4010, Norfolk County,30.953852101581592,53,3240,47514,4,7.8,36.4,18.2,1.7
,3684, Middlesex County,30.96136948163505,53,8610,29852,5,7.3,19.60000000000001,14.4,5.7
,4224, Norfolk County,30.970403356222885,53,7649,39409,7.4,7.7,38.2,9.8,1.2
,7311.02, Worcester County,30.994914852328538,53,2560,30853,14.5,6.2,32.8,10.5,0
,111, Barnstable County,31.000915372075145,53,4560,41464,7.7,6.8,45.60000000000001,4.9,0.9
,7481, Worcester County,31.00557449839783,53,3208,31863,12.5,6.2,36.8,8.6,0
,6001, Bristol County,31.02541873135539,54,4054,35389,3.6999999999999997,5.9,42.49999999999999,4.8,2.8
,4561.01, Norfolk County,31.032465086470292,54,4256,35214,12.6,5.7,42.49999999999999,2.6,0.7
,6502.01, Bristol County,31.034331502784017,54,3144,31097,14.8,8.5,32.69999999999999,6.3,0
,8134.01, Hampden County,31.069948358748267,54,5375,31588,8.3,8.4,37.400000000000006,8.3,0
,3688, Middlesex County,31.07066198749166,54,4971,32963,12.899999999999999,5.8,30.599999999999994,9.5,2.3
,4202.02, Norfolk County,31.080099025858342,54,6449,33100,10.4,10.5,32.400000000000006,6.9,0.6
,2057, Essex County,31.09089860903531,54,4957,28422,12.399999999999999,4.5,31.5,11.5,1.5
,7302, Worcester County,31.105160183497276,54,5035,37021,7.199999999999999,8.5,37.50000000000001,8.5,1.2
,128, Barnstable County,31.13737872442181,54,3893,36476,2,10.4,44.1,6.5,0
,5091.01, Plymouth County,31.138029837319053,54,6876,35590,4.2,9,42.2,8.5,0
,7307, Worcester County,31.144371842354378,54,6941,36083,9.1,8.5,37.7,8.5,0.4
,112, Barnstable County,31.146250123235358,54,3379,42994,3,8.4,47.7,8.8,0
,6134, Bristol County,31.18069606170428,54,3625,29916,10.4,8.3,34,7.1,0.8
,7471.02, Worcester County,31.208594170313777,54,3799,31762,7.9,9.4,34.7,7.7,0.9
West Roxbury,1304.04, Suffolk County,31.28345362822857,54,3337,37604,10.3,4.7,39.800000000000004,3.6,3.4
,8.03, Suffolk County,31.296280442408754,55,6234,17205,5,8.9,3.6000000000000085,37,1.7
,3323, Middlesex County,31.31150521157457,55,6903,37154,7.4,5.6,40.7,5.4,2.9
,7011, Worcester County,31.329237136889926,55,8479,28893,10.1,3.8,38.800000000000004,9,1.2
,7581.01, Worcester County,31.332647778529445,55,1757,33102,8.8,3.3,49.3,5.5,0
,3833, Middlesex County,31.35119500817433,55,2906,30835,16,3.5,39.3,7.9,0
,7131, Worcester County,31.369899427280725,55,8048,32899,10,6.4,34.099999999999994,9.2,2.1
,3173.01, Middlesex County,31.374895102221092,55,2855,38069,5.9,7.3,45.4,3.7,1.5
,4021.01, Norfolk County,31.377671887982142,55,3389,39805,10.3,6.5,40.300000000000004,7.8,1.4
,8226.05, Hampshire County,31.381625097013096,55,1256,33750,8.5,9.3,30.599999999999994,8.3,2.6
,118.01, Barnstable County,31.393084277738097,55,2298,44616,1.9,4.9,58.2,6.3,0
,8137.01, Hampden County,31.403846544416595,55,3476,32879,6.8,12.7,33,9,0
,5241.02, Plymouth County,31.404008192165346,55,3828,32469,6.6,10.2,37.2,6.2,0.8
,141, Barnstable County,31.404713107873636,55,869,14432,6.300000000000001,1.9,36.300000000000004,5.6,3
,8104.12, Hampden County,31.411599840304493,55,6087,31480,18.9,6,38,2.3,0
,8202.03, Hampshire County,31.41442617317855,56,8647,32963,10.6,4.9,39.39999999999999,9.7,0.8
,2605, Essex County,31.41517137352165,56,4035,37765,5.2,7.7,39.4,8,2.3
,3142, Middlesex County,31.43402208395403,56,5272,30346,15.3,5.2,35.80000000000001,7.6,0.6
,3001, Middlesex County,31.445180635162725,56,3177,29879,7.2,7.2,32.900000000000006,8,2.9
,6133, Bristol County,31.445918164745198,56,7220,32577,7.3,9,37.3,7.5,0.9
,9223, Berkshire County,31.470304125674037,56,2076,34242,8.3,8.1,35.900000000000006,6.9,2.1
,7331.01, Worcester County,31.490426468836137,56,2235,27789,14.7,4.1,31.89999999999999,7.7,2.4
,8203, Hampshire County,31.494453616595568,56,6929,23302,4.2,3.6,18.900000000000006,38.6,0.4
,8131.01, Hampden County,31.504612845400814,56,5823,33218,13.4,5.5,39.1,7.8,0.4
,7033, Worcester County,31.505897150124913,56,3666,29170,10.1,9.7,33.900000000000006,8.4,0
,6322, Bristol County,31.51409376212585,56,7394,34504,8.600000000000001,6.1,38.50000000000001,8.3,1.9
,2103, Essex County,31.552142994943946,56,8448,36266,3.3,8,47.199999999999996,7.6,0
,2217, Essex County,31.558263217852826,56,2282,28432,13.3,4.8,37.099999999999994,7.7,0.8
,3353.01, Middlesex County,31.580841726502097,56,4377,37189,10.5,5.1,34.5,12,2.7
,8132.06, Hampden County,31.581894883815,56,4138,28912,10.200000000000001,5,39.5,7.2,1.1
,8138.01, Hampden County,31.60342602416526,57,4402,30038,6.8,9,34.099999999999994,7,2.1
,7501, Worcester County,31.605883311443105,57,6147,28873,7.7,6.4,40.49999999999999,9.7,0
,7381, Worcester County,31.61780555268291,57,4656,36505,6.9,7.8,40.400000000000006,7.9,1.4
,7301, Worcester County,31.61992687897366,57,6018,32841,7.5,8.1,35.19999999999999,10.3,1.5
,3311.02, Middlesex County,31.62497272034368,57,7278,36369,5.3,6.8,41.49999999999999,2,3.9
,2047.02, Essex County,31.642432272483706,57,5491,30247,9.3,6.6,33.89999999999999,12.3,1.2
,1105.01, Suffolk County,31.657934669708663,57,3601,36645,9.6,6.3,33.7,15.2,1.6
,5252.03, Plymouth County,31.661311248109527,57,5686,29781,4.9,5.7,39.599999999999994,12.8,0.9
,8113.02, Hampden County,31.67203183820273,57,5803,27869,6,8.5,33.19999999999999,13.4,0.7
,6522, Bristol County,31.673599196732454,57,3190,28444,11.8,4.7,41.199999999999996,7.8,0
,6171.01, Bristol County,31.690243528499924,57,5011,32310,14.9,4.8,36.60000000000001,4.8,2.2
,5305, Plymouth County,31.734187477811574,57,5259,34069,6.800000000000001,8.3,38.599999999999994,10.5,0.7
,5105.01, Plymouth County,31.749211912050452,57,2636,27894,13.4,4.7,37.4,10.5,0
,5451, Plymouth County,31.769187251850564,57,7187,32166,8.3,7.6,39.49999999999999,8.9,0.5
,404, Franklin County,31.77851822362757,57,3483,28512,7.6,6.9,36.99999999999999,10.8,0.8
,5221.02, Plymouth County,31.789090716451042,58,5570,35829,7.2,6.8,38.5,3.5,4
,7611, Worcester County,31.79410399268593,58,5163,28906,8.6,8.4,34,13.3,0
,2201.02, Essex County,31.79781580060494,58,3063,39794,3.4000000000000004,9.2,48.9,6.3,0
,6318, Bristol County,31.80383419101769,58,6915,35882,10,7.6,35.5,10.1,1.7
,2218, Essex County,31.84257290407192,58,1804,38064,16.6,5.7,42.39999999999999,5.7,0
,117, Barnstable County,31.845956652590086,58,1865,41828,3.3,9,45.9,11.6,0
