community,census_tract,county,hardship_index,ma_percentile,pop_total,percapita_income,percent_not_hs_grad,percent_unemployed,percent_dependent,percent_poverty,percent_crowding
,9504, Nantucket County,24.260704738714807,11,2460,44390,2.8,1.1,28.400000000000006,2,4.9
,4061.01, Norfolk County,24.27255968532162,11,5720,66700,2.4,4.3,41.7,3,2.1
,3261.02, Middlesex County,24.282125579673178,11,6916,49297,1.2999999999999998,6.4,37.4,2.1,0
,3564, Middlesex County,24.30726381718088,11,7215,55207,3,3.7,41.6,4,0
Downtown/Chinatown/LeatherDistrict,701.01, Suffolk County,24.31225523321484,11,5668,88038,6.6,5.8,20.69999999999999,22,5.3
,3182, Middlesex County,24.318463948825652,11,4228,41048,1.9,2.4,35.3,6.8,0
,8131.02, Hampden County,24.347970349742965,11,3817,43108,4.3,4.6,35.099999999999994,1.7,0
,2176, Essex County,24.354827356553518,11,8644,48564,3.8,5.8,34,4.4,0
,3731, Middlesex County,24.35510852135523,11,4971,49866,4.3,2.6,37.099999999999994,5.4,0.5
,7401.01, Worcester County,24.37832955909455,11,5644,50535,2.2,5.6,36.89999999999999,1.4,0.9
,4421.03, Norfolk County,24.398572948112403,11,7163,47684,0.6000000000000001,3.8,43.49999999999999,0.2,0
,3311.01, Middlesex County,24.40965121952573,11,3203,38633,1.5,3.6,37,2,0
,5011.01, Plymouth County,24.409771768658654,11,3290,70736,3.3,5.6,43.1,5.1,0.8
Cambridge,3535, Middlesex County,24.42882714820851,11,2635,62808,8.9,3.3,26.700000000000003,12.8,2.4
,3835.02, Middlesex County,24.436139373391143,12,4024,24818,4.1,6,18.80000000000001,8,0
,3171.03, Middlesex County,24.440172556470255,12,5119,46444,3.3,3.8,38.5,2.6,0
,3571, Middlesex County,24.45956927052283,12,4357,59278,2.1,5.1,44.00000000000001,2.5,0
,4006, Norfolk County,24.47396955976357,12,4965,64076,1.2,8.9,33.10000000000001,10.1,0.5
,3184, Middlesex County,24.501058210816538,12,4075,57486,3.2,4,39.099999999999994,3,1.6
,4103, Norfolk County,24.508726103277798,12,4781,47403,2.1,6.8,35.10000000000001,3,0
